Header Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,VC1499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Plan,Rev(A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release Date,2018/7/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comment,#1-20/A1.7;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
Test Item,Site No,Soft Bin,Hard Bin,Device ID,Current1_uA,Leakage Current_V1,Insertion Loss Rx13_960MHz,Insertion Loss Rx13_1910MHz,Insertion Loss Rx13_2700MHz,Insertion Loss Rx24_960MHz,Insertion Loss Rx24_1910MHz,Insertion Loss Rx24_2700MHz,Insertion Loss Rx14_960MHz,Insertion Loss Rx14_1910MHz,Insertion Loss Rx14_2700MHz,Insertion Loss Rx23_960MHz,Insertion Loss Rx23_1910MHz,Insertion Loss Rx23_2700MHz,Isolation13H_960MHz,Isolation13H_2170MHz,Isolation13H_2700MHz,Isolation24H_960MHz,Isolation24H_2170MHz,Isolation24H_2700MHz,Isolation14L_960MHz,Isolation14L_2170MHz,Isolation14L_2700MHz,Isolation23L_960MHz,Isolation23L_2170MHz,Isolation23L_2700MHz,Power_35dBm_900MHz,RF3_900MHz_2nd_Har_RF1_L,RF3_900MHz_3rd_Har_RF1_L,RF4_900MHz_2nd_Har_RF2_L,RF4_900MHz_3rd_Har_RF2_L,RF3_900MHz_2nd_Har_RF2_H,RF3_900MHz_3rd_Har_RF2_H,RF4_900MHz_2nd_Har_RF1_H,RF4_900MHz_3rd_Har_RF1_H,TEST_TIME,INDEX_TIME
Low Tolerance,,,,,10,10,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,3,3,3,3,3,3,3,3,3,3,3,3,0.5,3,3,3,3,3,3,3,3,,
High Tolerance,,,,,10,10,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,3,3,3,3,3,3,3,3,3,3,3,3,0.5,3,3,3,3,3,3,3,3,,
Enable,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0
1,2,3,3,1,42.775,0.061,-0.391,-0.493,-0.566,-0.403,-0.529,-0.619,-0.424,-0.555,-0.628,-0.414,-0.535,-0.603,-37.568,-34.9,-34.507,-37.152,-33.567,-34.635,-53.151,-49.651,-43.751,-50.333,-44.386,-44.928,35,-65.26,-55.078,-62.309,-51.739,-63.567,-58.503,-60.986,-56.835,1278.647,35.7
2,2,3,3,2,36.552,0.065,-0.408,-0.502,-0.572,-0.419,-0.538,-0.626,-0.436,-0.561,-0.627,-0.458,-0.57,-0.624,-37.808,-35.158,-34.894,-37.359,-33.785,-35.077,-53.457,-49.834,-43.879,-50.479,-44.518,-44.944,35.015,-63.958,-53.265,-60.857,-49.411,-61.565,-57.393,-61.905,-54.198,1280.144,70.738
3,2,3,3,3,34.893,0.048,-0.408,-0.504,-0.578,-0.43,-0.554,-0.64,-0.452,-0.582,-0.645,-0.426,-0.551,-0.615,-37.727,-35.06,-34.66,-37.252,-33.689,-34.958,-53.355,-49.957,-43.9,-50.406,-44.512,-45.079,35.015,-64.97,-53.561,-61.429,-49.928,-62.107,-57.694,-59.436,-54.351,1280.488,32.349
4,2,3,3,4,34.233,0.06,-0.416,-0.508,-0.582,-0.422,-0.544,-0.631,-0.442,-0.57,-0.631,-0.45,-0.57,-0.632,-37.712,-35.058,-34.781,-37.265,-33.727,-34.813,-53.121,-50.386,-44.256,-50.606,-44.791,-45.298,34.988,-63.206,-53.769,-59.63,-49.675,-60.939,-56.827,-63.863,-54.943,1277.455,25.652
5,2,3,3,5,36.728,0.031,-0.412,-0.51,-0.581,-0.442,-0.563,-0.654,-0.464,-0.585,-0.659,-0.437,-0.557,-0.624,-37.75,-35.097,-34.842,-37.333,-33.776,-34.795,-53.528,-49.868,-44.087,-50.566,-44.51,-45.001,35.008,-62.303,-54.717,-61.074,-49.558,-61.714,-58.788,-60.513,-54.056,1279.909,23.246
6,2,3,3,6,40.834,0.055,-0.411,-0.504,-0.578,-0.422,-0.54,-0.631,-0.441,-0.564,-0.634,-0.435,-0.558,-0.62,-37.748,-35.076,-34.777,-37.298,-33.756,-34.921,-53.415,-49.95,-43.946,-50.534,-44.562,-45.232,35.008,-61.313,-55.206,-62.042,-52.795,-62.259,-59.503,-63.08,-55.147,1280.023,41.215
7,2,3,3,7,34.586,0.063,-0.423,-0.519,-0.59,-0.428,-0.548,-0.634,-0.447,-0.568,-0.634,-0.442,-0.564,-0.624,-37.896,-35.351,-35.156,-37.466,-33.97,-35.27,-53.171,-49.73,-43.674,-50.499,-44.443,-44.689,35.011,-60.778,-53.926,-62.49,-51.212,-61.724,-58.559,-62.281,-54.321,1278.654,35.585
8,2,3,3,8,35.804,0.018,-0.411,-0.511,-0.582,-0.431,-0.548,-0.636,-0.455,-0.576,-0.642,-0.429,-0.557,-0.62,-37.685,-35.027,-34.63,-37.239,-33.689,-34.875,-53.475,-50.392,-44.132,-50.704,-44.771,-45.355,35.021,-64.672,-54.88,-61.251,-51.67,-61.245,-59.32,-62.7,-54.727,1279.448,25.371
9,2,3,3,9,37.543,0.084,-0.408,-0.505,-0.58,-0.425,-0.538,-0.63,-0.439,-0.56,-0.625,-0.435,-0.559,-0.623,-37.723,-35.119,-34.848,-37.328,-33.783,-35.045,-53.263,-50.143,-44.114,-50.586,-44.684,-45.24,35.009,-60.398,-54.639,-63.225,-52.359,-62.667,-59.375,-62.084,-54.395,1278.928,33.286
10,2,3,3,10,33.843,0.03,-0.413,-0.507,-0.582,-0.425,-0.542,-0.631,-0.444,-0.561,-0.631,-0.446,-0.566,-0.631,-37.718,-35.068,-34.684,-37.26,-33.736,-34.938,-53.365,-50.837,-44.563,-50.704,-45.027,-46.074,34.997,-64.249,-53.822,-60.219,-50.706,-61.252,-57.017,-64.552,-53.649,1278.183,30.429
11,2,3,3,11,40.311,0.051,-0.422,-0.523,-0.591,-0.43,-0.551,-0.648,-0.451,-0.581,-0.649,-0.453,-0.572,-0.637,-37.474,-34.706,-34.228,-37.065,-33.455,-34.425,-50.992,-51.395,-45.067,-49.066,-44.752,-46.415,35.015,-62.262,-54.368,-61.635,-52.399,-63.282,-58.793,-61.617,-55.701,1279.585,50.64
12,2,3,3,12,34.391,0.023,-0.424,-0.525,-0.596,-0.435,-0.553,-0.65,-0.456,-0.581,-0.652,-0.455,-0.575,-0.64,-37.554,-34.89,-34.558,-37.195,-33.647,-34.792,-50.96,-51.398,-44.904,-48.909,-44.486,-45.687,35.008,-65.293,-55.275,-60.103,-52.574,-62.002,-58.915,-64.276,-56.321,1279.024,25.128
13,2,3,3,13,33.812,0.029,-0.433,-0.536,-0.607,-0.439,-0.56,-0.652,-0.46,-0.582,-0.656,-0.458,-0.578,-0.646,-37.464,-34.752,-34.373,-37.082,-33.5,-34.652,-50.902,-52.635,-45.546,-49.024,-45.005,-46.62,35.021,-65.203,-53.826,-60.308,-50.911,-61.601,-57.281,-64.054,-54.435,1278.56,26.359
14,2,3,3,14,33.737,0.051,-0.421,-0.521,-0.591,-0.449,-0.567,-0.661,-0.471,-0.591,-0.658,-0.45,-0.57,-0.636,-37.576,-34.844,-34.362,-37.146,-33.556,-34.581,-51.174,-50.765,-44.596,-49.132,-44.483,-45.816,34.99,-61.288,-53.642,-59.319,-49.993,-62.437,-57.968,-58.824,-54.828,1276.822,20.871
15,2,3,3,15,30.504,0.024,-0.438,-0.535,-0.609,-0.442,-0.56,-0.656,-0.463,-0.585,-0.656,-0.46,-0.583,-0.648,-37.355,-34.58,-34.188,-36.993,-33.37,-34.488,-51.022,-52.066,-45.209,-49.074,-44.756,-46.264,35.001,-63.342,-52.905,-61.041,-50.765,-61.682,-57.562,-63.154,-54.685,1278.481,20.72
16,2,3,3,16,37.249,0.035,-0.426,-0.521,-0.596,-0.439,-0.556,-0.652,-0.455,-0.576,-0.65,-0.465,-0.579,-0.645,-37.423,-34.685,-34.291,-37.059,-33.476,-34.487,-51.012,-51.666,-45.004,-48.932,-44.616,-46.102,35.005,-63.154,-54.111,-61.01,-51.992,-62.686,-57.865,-62.65,-56.007,1277.973,20.496
17,2,3,3,17,33.875,0.017,-0.426,-0.523,-0.597,-0.439,-0.556,-0.652,-0.458,-0.583,-0.652,-0.452,-0.57,-0.639,-37.553,-34.902,-34.539,-37.175,-33.654,-34.775,-50.962,-52.173,-45.38,-49.006,-44.863,-46.385,34.989,-65.627,-54.78,-61.9,-52.176,-62.055,-58.226,-65.867,-55.739,1278.981,22.391
18,2,3,3,18,35.655,0.023,-0.429,-0.529,-0.599,-0.432,-0.551,-0.645,-0.454,-0.576,-0.647,-0.446,-0.567,-0.632,-37.498,-34.803,-34.382,-37.111,-33.558,-34.657,-50.992,-51.442,-44.864,-49.018,-44.543,-45.961,34.991,-62.786,-53.901,-61.983,-51.41,-62.468,-57.456,-63.482,-54.885,1279.298,20.912
19,2,3,3,19,34.802,0.017,-0.42,-0.521,-0.59,-0.435,-0.55,-0.644,-0.451,-0.57,-0.64,-0.442,-0.561,-0.633,-37.551,-34.912,-34.53,-37.13,-33.583,-34.736,-50.976,-52.076,-45.145,-49.086,-44.975,-46.261,34.985,-62.711,-54.15,-60.647,-52.321,-62.662,-58.811,-62.964,-55.29,1278.95,22.533
20,2,3,3,20,36.109,0.039,-0.416,-0.515,-0.586,-0.431,-0.547,-0.641,-0.449,-0.57,-0.639,-0.443,-0.562,-0.631,-37.498,-34.787,-34.401,-37.124,-33.557,-34.683,-50.906,-51.538,-44.941,-48.961,-44.615,-46.022,34.992,-62.841,-54.032,-61.05,-51.416,-63.301,-57.553,-62.462,-54.873,1277.852,24.739
